Time;msDelta;Acc_X;Acc_Y;Acc_Z;Gyro_X;Gyro_Y;Gyro_Z;Tilt_X;Tilt_Y;Tilt_Z;Mag_X;Mag_Y;Mag_Z;Head;Temp;Press;Alt;Lat;Lng;Speed;AltGPS;HeadGPS
19;1002;0.5020;-0.4837;9.7765;0.1373;-0.5086;-3.7435;-2.8441;-2.2618;101.9485;36.3700;29.8635;-49.6059;308.0154;22.3584;1023.1694;-9.6484;42.605778;-8.937083;1.9816;-2.9000;1.0000
20;1002;0.5633;-0.3715;9.8444;0.1554;0.5993;1.0320;-2.5274;-2.9893;100.1079;35.6183;29.9129;-50.0461;308.6429;22.3660;1023.1655;-9.6166;42.605785;-8.937082;2.3706;1.1000;1.0000
21;1002;-0.2373;-0.6859;9.7984;0.0000;0.0407;-0.4374;-2.8436;-1.4763;101.7036;36.2540;30.4025;-49.8805;308.6024;22.3700;1023.1541;-9.5222;42.605804;-8.937078;3.5373;1.8000;1.0000
22;1002;0.2644;-0.4765;9.8032;-0.0509;-0.2289;-1.6683;-2.9645;-0.5658;99.4180;36.4615;28.7998;-50.3522;306.9297;22.3713;1023.1456;-9.4512;42.605816;-8.937071;4.4078;1.8000;1.0000
23;1002;1.2302;-0.3019;9.8096;0.0153;-0.0203;1.0478;-2.4065;-2.9485;99.0399;36.4268;28.8005;-50.3435;306.9613;22.3703;1023.1289;-9.3144;42.605850;-8.937070;6.6672;2.9000;101.1400
24;1002;0.8026;-0.3402;9.7635;0.1554;0.3274;1.6313;-2.0584;-4.4485;101.0098;35.7124;29.0069;-50.9971;307.7200;22.3693;1023.1279;-9.3055;42.605896;-8.937065;9.3341;3.4000;37.6200
25;1002;-0.2385;-0.4083;9.8805;0.1373;0.2136;0.7375;-2.2101;-2.6358;102.1637;35.5002;29.7897;-49.7879;308.6435;22.3698;1023.1448;-9.4456;42.605938;-8.937063;10.8527;3.7000;18.3700
26;1002;-0.2405;-0.3661;9.8893;0.1577;-0.0254;0.7731;-2.2275;-0.4408;103.0692;37.0563;30.0445;-50.3825;307.6641;22.3701;1023.1490;-9.4806;42.606003;-8.937074;13.5381;5.4000;5.0900
27;1002;-1.0305;-0.6212;9.8043;-0.0055;0.3496;-1.5647;-2.5024;1.4282;103.2051;34.8602;29.5883;-50.4147;308.9361;22.3696;1023.1622;-9.5891;42.606045;-8.937073;14.0752;6.2000;3.5300
28;1002;-0.8123;-1.4467;9.7470;-1.0783;0.6866;-10.6506;-4.4568;3.5907;97.1242;30.3281;27.9361;-50.5485;311.2473;22.3706;1023.1676;-9.6337;42.606083;-8.937064;14.2048;6.6000;5.5000
29;1002;-0.9710;-2.3639;9.7717;0.9613;0.2187;-29.2308;-9.2477;2.7882;72.7652;23.5257;21.5580;-49.7908;310.8244;22.3709;1023.1693;-9.6476;42.606094;-8.937039;12.7973;7.1000;12.7600
30;1002;0.4693;-2.2869;9.5938;0.7782;1.5055;-32.8674;-11.1424;-2.6390;34.1588;20.3629;9.0843;-51.5573;292.2455;22.3691;1023.1534;-9.5167;42.606110;-8.937005;12.5010;7.5000;23.2800
31;1002;-0.1806;-0.1683;9.7474;1.4598;0.2747;-7.9600;-7.5330;-4.6147;7.5838;20.3632;1.8981;-52.8455;273.5857;22.3633;1023.1577;-9.5515;42.606106;-8.936954;12.7603;7.1000;38.8400
32;1088;-0.5958;1.3430;9.7785;-0.3815;0.3103;18.1224;-0.9137;-0.3113;15.3983;21.1206;7.2132;-51.6628;287.1887;22.3615;1023.1740;-9.6866;42.606102;-8.936894;14.3900;6.7000;55.1400
33;1164;0.0299;1.4100;9.8746;1.8158;-0.7629;22.1100;3.7299;-0.0856;41.0390;23.1762;17.3285;-49.5831;305.2416;22.3603;1023.1779;-9.7188;42.606113;-8.936859;13.1862;6.5000;59.6500
34;1091;-0.6582;2.2651;9.6591;-1.3150;1.7034;28.4868;7.2929;-1.4207;69.8196;26.6449;24.6717;-49.4779;311.3592;22.3565;1023.1819;-9.7512;42.606144;-8.936817;14.2604;6.7000;58.9000
35;1191;-0.6225;1.8706;9.7916;-0.6104;0.4272;26.7385;8.2343;-1.0130;101.2468;35.9619;29.2019;-49.3966;307.8235;22.3541;1023.1910;-9.8259;42.606174;-8.936793;13.0010;6.7000;53.7700
36;1091;-0.4833;1.7866;9.7730;0.2608;0.8267;25.9899;8.7791;-1.9241;131.5098;47.8540;27.8330;-51.6902;298.8779;22.3533;1023.1912;-9.8286;42.606197;-8.936803;9.8526;6.1000;40.0700
37;1091;-0.4211;1.1998;9.7482;-0.0888;0.3773;19.3260;8.2063;-1.5910;156.6171;54.4272;21.1002;-51.2939;289.7820;22.3534;1023.2087;-9.9723;42.606213;-8.936832;8.3896;4.6000;10.7700
38;1091;0.9644;0.9840;9.7426;0.4661;0.1554;13.7662;6.7691;-3.4507;108.8990;55.0242;13.1752;-51.7244;282.0888;22.3517;1023.1899;-9.8176;42.606232;-8.936862;9.4637;3.0000;346.6900
39;1191;-0.3944;-0.0064;9.7282;-0.1882;0.0509;2.1769;4.3181;-2.9691;-175.8531;56.8271;11.5899;-51.7756;280.1270;22.3522;1023.1786;-9.7234;42.606258;-8.936975;14.5197;3.0000;304.6200
40;1191;0.3338;-0.5004;9.8080;-0.3611;-0.6104;-5.1778;1.2433;-0.9659;-58.8011;56.1408;11.3451;-52.5223;280.0421;22.3506;1023.1765;-9.7074;42.606255;-8.937035;15.8902;2.7000;291.4700
41;1197;0.5184;-1.1237;9.8028;-0.5290;-0.0203;-8.9823;-2.1355;-2.5685;172.9216;57.1320;17.2161;-51.8944;285.3841;22.3519;1023.1687;-9.6420;42.606274;-8.937098;17.1680;2.7000;288.2700
42;1164;-0.1144;-1.6864;9.6820;-0.3357;0.1729;-12.4003;-5.4254;-2.3167;159.8932;53.5618;21.4827;-50.9890;290.4532;22.3524;1023.1624;-9.5902;42.606289;-8.937151;16.7976;2.7000;288.3800
43;1091;-0.0796;-1.6209;9.8183;1.3816;0.0832;-12.7064;-6.7466;-2.0729;145.4120;49.9164;25.3235;-50.4154;295.4809;22.3500;1023.1685;-9.6407;42.606316;-8.937205;17.0940;2.3000;291.8900
44;1191;0.1451;-1.6772;9.7310;1.1648;-0.5442;-12.9140;-7.3883;-2.4591;130.8234;45.8064;27.7384;-50.1628;299.8074;22.3456;1023.1696;-9.6504;42.606365;-8.937261;18.1311;2.6000;300.1100
45;1091;1.0105;-1.3725;9.9079;1.0376;-0.3218;-10.4925;-6.8235;-4.4440;117.2781;42.2145;29.3624;-49.1871;303.4029;22.3444;1023.1608;-9.5774;42.606525;-8.937300;21.7240;2.6000;340.7400
46;1191;0.5938;-0.4526;9.8427;1.0223;-0.2136;-5.4677;-4.9265;-5.4991;107.8134;38.3136;28.7280;-47.8862;305.4757;22.3421;1023.1442;-9.4401;42.606602;-8.937297;24.6316;5.1000;354.0500
47;1190;0.4598;0.1870;9.9519;-0.2492;-0.2238;-0.3967;-2.2632;-3.6218;104.8402;36.7096;27.7011;-49.3884;305.6544;22.3401;1023.1475;-9.4672;42.606689;-8.937298;27.8726;5.7000;0.2900
48;1191;1.0204;0.1308;9.8702;-0.8240;-0.0153;-0.0865;-0.6555;-4.5854;104.8988;38.8768;29.7551;-48.7435;306.0510;22.3362;1023.1298;-9.3216;42.606785;-8.937299;30.9840;5.7000;3.1200
