Time;msDelta;Acc_X;Acc_Y;Acc_Z;Gyro_X;Gyro_Y;Gyro_Z;Tilt_X;Tilt_Y;Tilt_Z;Mag_X;Mag_Y;Mag_Z;Head;Temp;Press;Alt;Lat;Lng;Speed;AltGPS;HeadGPS
1;1017;0.6286;-0.8488;9.8401;3.0060;2.2278;-0.3662;-4.3169;-3.2554;143.7925;37.7538;22.0233;-15.0298;298.8688;22.4436;1023.0378;-8.5636;42.605751;-8.937222;0.1852;1.3000;0.0000
2;1191;0.4450;-0.1113;9.7350;0.6714;-2.9602;25.4059;-2.2559;-5.1283;158.1981;34.3708;10.5819;-1.5653;285.7856;22.4457;1023.0302;-8.5006;42.605755;-8.937222;0.3519;1.5000;0.0000
3;1091;0.0465;-0.8496;9.7387;-3.9728;1.1264;-1.0653;-3.7813;-0.6312;173.8971;44.4540;9.6370;-18.5204;280.7696;22.4529;1023.0269;-8.4732;42.605755;-8.937224;0.5000;1.6000;0.0000
4;1092;0.4550;-0.8948;10.0084;1.1097;-4.4223;2.1307;-4.5418;-3.0927;173.7698;51.8256;14.4644;-25.2602;284.1721;22.4588;1023.0399;-8.5797;42.605755;-8.937226;0.3519;1.8000;0.0000
5;1091;0.6303;-0.8609;9.4990;-10.3926;-0.0111;-3.3958;-7.4063;-4.2043;172.5078;51.8545;15.3351;-22.5165;285.1035;22.4668;1023.0331;-8.5244;42.605759;-8.937225;0.2408;2.2000;0.0000
6;1218;0.8278;-1.0874;9.4985;-0.2289;-1.1648;-4.4301;-7.0953;-5.1860;164.7249;48.1431;23.2578;-26.7823;294.4118;22.4742;1023.0316;-8.5116;42.605759;-8.937223;0.2222;2.2000;0.0000
7;1164;0.5993;-0.5658;9.7777;8.2703;3.9164;-1.9226;-3.3073;-3.7312;161.2500;45.5984;26.0295;-32.9039;298.3436;22.4780;1023.0339;-8.5311;42.605759;-8.937233;1.8890;2.4000;0.0000
8;1190;-0.0407;-0.1691;9.7900;-3.7893;-0.0865;1.8412;-1.4447;-0.0673;162.1857;46.1001;22.8302;-32.9035;294.9641;22.4811;1023.0396;-8.5777;42.605762;-8.937235;1.0556;2.5000;0.0000
9;1190;0.2181;-0.6340;9.9503;1.0071;-0.9969;-1.3377;-3.2094;-1.0043;162.0580;45.9165;23.8440;-31.7507;296.0569;22.4826;1023.0405;-8.5857;42.605759;-8.937240;0.7593;2.5000;0.0000
10;1190;0.3525;-0.5096;9.8439;-0.3153;0.3510;-0.1882;-2.6143;-2.1538;160.2361;45.0233;25.9335;-33.1019;298.5588;22.4863;1023.0501;-8.6641;42.605759;-8.937246;1.4075;2.5000;0.0000
11;1167;0.5339;-0.8027;9.9515;-0.0559;-0.2848;-5.1320;-2.5328;-2.0238;160.4677;45.3152;23.9997;-31.6767;296.5178;22.4890;1023.0485;-8.6510;42.605759;-8.937252;1.5742;2.4000;0.0000
12;1092;-0.5868;-0.4176;9.5938;-5.1381;7.8347;-32.3653;-4.1039;1.3224;126.7613;24.3017;29.2608;-6.2191;320.5392;22.4920;1023.0536;-8.6932;42.605766;-8.937261;1.1853;2.1000;0.0000
13;1218;-2.7212;-0.4594;9.1496;-3.4383;12.1562;17.6290;-4.3826;17.3685;131.1639;19.8243;15.3157;-30.5274;304.6829;22.4938;1023.0483;-8.6498;42.605766;-8.937255;0.5186;2.0000;0.0000
14;1064;-1.5565;-0.9244;8.6694;10.8310;-9.2163;-3.8230;-2.6842;8.4240;143.6168;42.9903;17.1818;-46.2751;289.4428;22.4966;1023.0646;-8.7840;42.605770;-8.937251;0.6852;2.0000;0.0000
15;1190;-0.1695;-0.1950;9.8152;0.2797;-0.4476;-2.2786;-1.8031;2.3318;139.8468;43.6694;25.9913;-51.2850;299.3771;22.5033;1023.0848;-8.9501;42.605778;-8.937239;1.3520;2.5000;0.0000
16;1091;-0.2593;-0.2658;9.8061;0.0111;-0.1054;0.0000;-1.6894;1.9026;140.4372;43.8875;25.9883;-51.3818;299.2488;22.5111;1023.0955;-9.0385;42.605782;-8.937238;1.1853;2.6000;0.0000
17;1092;-0.2680;-0.2649;9.8113;-0.0166;-0.0499;0.0000;-1.6440;1.6829;140.8093;43.5868;25.8803;-51.4063;299.3172;22.5144;1023.0865;-8.9642;42.605785;-8.937238;1.0371;2.5000;0.0000
18;1191;-0.2424;-0.2393;9.8459;-0.3153;-0.0153;0.0000;-1.6122;1.5733;141.0059;44.5232;26.6735;-52.4958;299.5408;22.5156;1023.0884;-8.9796;42.605785;-8.937238;0.6482;2.4000;0.0000
19;1191;-0.2604;-0.2576;9.8020;-0.0559;-0.0203;0.0000;-1.6026;1.5230;141.1093;44.8484;26.9781;-52.3681;299.6453;22.5164;1023.0587;-8.7348;42.605793;-8.937223;1.5742;2.2000;0.0000
20;1091;-0.2601;-0.2575;9.8017;-0.0333;-0.0277;0.0000;-1.5985;1.4991;141.1588;44.9380;26.9950;-51.8735;299.6106;22.5179;1023.0284;-8.4859;42.605804;-8.937217;1.9261;2.0000;0.0000
21;1169;-0.2568;-0.2548;9.7948;-0.0153;-0.0509;0.0000;-1.5898;1.4740;141.1839;45.0653;27.2567;-52.0312;299.7834;22.5213;1023.0157;-8.3814;42.605804;-8.937209;1.8150;1.8000;0.0000
22;1217;-0.2488;-0.2648;9.8032;-0.0051;-0.0254;-0.0051;-1.5976;1.4635;141.1853;44.9388;26.9764;-52.1363;299.5927;22.5231;1023.0031;-8.2762;42.605812;-8.937195;2.4632;2.1000;0.0000
