Time;msDelta;Acc_X;Acc_Y;Acc_Z;Gyro_X;Gyro_Y;Gyro_Z;Tilt_X;Tilt_Y;Tilt_Z;Mag_X;Mag_Y;Mag_Z;Head;Temp;Press;Alt;Lat;Lng;Speed;AltGPS;HeadGPS
1;1150;0.8135;-0.5726;9.7649;-0.0543;-0.0746;-0.0068;-3.4198;-4.7687;7.2992;3.2489;5.0701;-8.0850;325.9162;22.0302;1020.8301;9.6607;42.595219;-8.931446;0.6667;26.9000;0.0000
2;1192;0.8191;-0.5682;9.7657;-0.0610;-0.0102;0.0153;-3.3957;-4.7983;7.3009;3.2041;5.4498;-8.0157;328.1580;22.0341;1020.8414;9.5678;42.595219;-8.931444;1.0742;26.5000;0.0000
3;1064;0.7983;-0.5612;9.7678;0.0000;0.0499;0.0000;-3.3658;-4.7316;7.3064;3.1731;5.2747;-7.5475;327.5615;22.0335;1020.8467;9.5237;42.595219;-8.931449;1.3334;26.3000;0.0000
4;1091;0.8122;-0.5673;9.7691;-0.0832;-0.0943;0.0000;-3.3658;-4.7411;7.3089;3.1921;5.2411;-7.7328;327.2508;22.0332;1020.8480;9.5136;42.595219;-8.931450;1.1112;26.5000;0.0000
5;1190;0.8191;-0.5678;9.7609;-0.0610;0.0407;0.0305;-3.3604;-4.7832;7.3293;3.1568;5.3074;-7.6662;327.8625;22.0329;1020.8569;9.4401;42.595219;-8.931450;1.4260;26.5000;0.0000
6;1190;0.8047;-0.5439;9.7837;-0.0559;0.1221;0.0763;-3.3549;-4.7035;7.3746;3.3015;5.2025;-7.3978;326.2101;22.0345;1020.8563;9.4453;42.595222;-8.931452;0.7223;26.5000;0.0000
7;1190;0.8234;-0.5810;9.7557;-0.0153;-0.0763;0.0051;-3.3916;-4.8349;7.4153;3.3768;5.4257;-7.2515;326.7208;22.0382;1020.8525;9.4757;42.595222;-8.931453;1.0371;26.7000;0.0000
8;1090;0.8109;-0.5590;9.7865;0.0444;-0.0055;-0.0277;-3.3833;-4.7910;7.4392;3.3425;5.0930;-7.4533;325.3708;22.0391;1020.8430;9.5544;0.000000;0.000000;0.0000;0.0000;0.0000
9;1092;0.8052;-0.5555;9.7600;0.1831;0.0888;0.0111;-3.3184;-4.7666;7.4163;3.3032;5.0307;-7.7162;325.2682;22.0415;1020.8431;9.5542;0.000000;0.000000;0.0000;0.0000;0.0000
10;1091;0.7943;-0.5542;9.7813;-0.0222;0.0721;0.0555;-3.3049;-4.7086;7.4532;3.2214;5.1421;-7.7461;326.5039;22.0412;1020.8384;9.5928;0.000000;0.000000;0.0000;0.0000;0.0000
11;1166;0.7892;-0.5595;9.7729;-0.0814;-0.0509;0.0661;-3.3508;-4.6999;7.4821;3.1543;5.0459;-8.3314;326.6502;22.0427;1020.8356;9.6158;0.000000;0.000000;0.0000;0.0000;0.0000
12;1091;0.8357;-0.5455;9.6930;0.1221;-0.0333;-0.0277;-3.3284;-4.7791;7.5067;3.3790;4.9511;-8.1556;324.3992;22.0425;1020.8416;9.5661;0.000000;0.000000;0.0000;0.0000;0.0000
