Time;msDelta;Acc_X;Acc_Y;Acc_Z;Gyro_X;Gyro_Y;Gyro_Z;Tilt_X;Tilt_Y;Tilt_Z;Mag_X;Mag_Y;Mag_Z;Head;Temp;Press;Alt;Lat;Lng;Speed;AltGPS;HeadGPS
1007;1002;1.1843;0.1017;9.8120;2.1922;0.4171;4.5064;-2.4875;-6.7090;26.9554;31.2559;-11.6901;-50.5097;248.1168;22.1876;1021.4681;4.3911;42.590588;-8.935542;30.1691;34.0000;140.4000
1008;1002;0.1862;-0.1240;9.8300;-0.3551;0.7990;2.5857;-1.2814;-4.7106;31.5178;30.6641;-14.8874;-50.4069;242.7263;22.1939;1021.4625;4.4380;42.590527;-8.935472;33.5582;34.1000;139.4500
1009;1002;0.6592;-0.9602;10.0919;-0.2340;-0.0966;-1.8412;-2.2536;-2.3726;33.6855;31.6029;-15.3430;-50.6439;242.7143;22.1953;1021.4313;4.6955;42.590462;-8.935402;33.5397;34.1000;141.3900
1010;1002;-0.1368;-1.0184;9.8419;2.6398;0.9918;-3.4943;-3.2973;-1.5051;30.2563;34.6378;-13.9004;-50.7416;246.7211;22.1975;1021.4261;4.7383;42.590393;-8.935340;32.5396;34.1000;144.6900
1011;1002;-0.6767;-0.5766;9.6712;0.0356;0.3357;-2.3499;-3.6104;0.7567;26.6103;34.0325;-14.9981;-49.3862;244.7894;22.1988;1021.4484;4.5541;42.590275;-8.935234;28.0578;33.9000;149.4600
1012;1002;-1.9575;-0.4981;9.7856;-1.0020;-0.2543;-2.1871;-3.2208;4.6999;23.9923;36.9145;-15.2308;-49.9375;246.2080;22.1971;1021.4314;4.6949;42.590214;-8.935200;26.8540;33.6000;153.3100
1013;1002;0.4033;-1.0606;9.6956;-0.8600;-0.5826;-6.4753;-4.6662;4.4754;19.5941;37.3519;-16.3905;-50.8021;244.8920;22.1992;1021.3873;5.0583;42.590157;-8.935167;26.6132;33.7000;154.9900
1014;1002;0.9518;0.8514;9.7087;1.6479;0.3510;4.3437;-2.6697;0.0673;16.1824;34.8994;-13.8698;-49.5306;246.8911;22.2024;1021.3685;5.2137;42.590096;-8.935117;28.2615;33.8000;152.0200
1015;1002;0.9199;1.0404;10.1130;2.5940;0.1526;9.6283;3.6511;-2.1428;27.8870;34.4870;-11.7176;-48.9754;249.8467;22.2020;1021.3604;5.2815;42.590042;-8.935046;29.5764;34.1000;143.6800
1016;1002;1.0400;-0.3393;9.7980;-1.7751;-1.1241;-1.8463;2.5058;-4.6596;32.1936;33.7928;-13.3095;-48.0233;247.1268;22.2002;1021.3250;5.5730;42.589970;-8.934980;32.0396;33.8000;144.1000
1017;1002;1.0823;-0.1401;9.9388;-0.7102;-0.4328;-1.7201;0.1159;-5.6415;28.7352;35.5471;-12.7344;-48.8912;248.9034;22.1989;1021.2816;5.9322;42.589897;-8.934916;33.7620;33.7000;144.6500
1018;1002;0.8936;-0.0881;9.8044;1.0529;0.0509;-0.5239;-0.7288;-5.4977;27.5917;34.6581;-14.1658;-49.6951;246.3687;22.2006;1021.2302;6.3562;42.589821;-8.934847;35.4473;33.9000;144.8700
1019;1002;0.6723;-0.2963;9.8375;-0.9104;0.2848;-0.5137;-1.2254;-5.3192;27.2932;34.9148;-13.8817;-49.7958;246.8967;22.2008;1021.1605;6.9321;42.589741;-8.934776;37.0585;34.3000;145.8100
1020;1155;-0.0175;-0.3661;9.7960;1.0325;0.1729;-0.8341;-1.6022;-2.8651;26.3484;34.1311;-14.4007;-49.5558;245.7290;22.2020;1021.1301;7.1837;42.589653;-8.934706;38.5957;34.7000;147.6600
1021;1042;-0.5586;-0.4694;9.5951;-0.0499;-0.0721;-1.7145;-2.0195;-0.6861;25.1582;34.6283;-14.0321;-49.6023;246.5390;22.2009;1021.1113;7.3376;42.589569;-8.934638;38.9105;34.9000;148.5400
1022;1190;-0.2732;-1.1102;9.7274;0.0916;0.0966;-5.2032;-3.2501;1.0158;21.2553;37.2300;-13.6562;-48.9717;248.4673;22.1967;1021.0945;7.4768;42.589493;-8.934579;37.6141;35.1000;150.8700
1023;1190;0.1495;-1.4635;9.9105;-0.1017;-0.9206;-8.4330;-5.0647;-0.5621;12.9469;39.5351;-17.1681;-50.6609;245.1995;22.1970;1021.0601;7.7613;42.589409;-8.934527;37.3363;35.9000;154.5400
1024;1190;0.2600;-1.6274;9.5237;-2.1769;1.6276;-9.2010;-7.9477;-1.0121;2.0425;43.3083;-16.2039;-49.1186;248.0323;22.1944;1021.0148;8.1354;42.589317;-8.934492;36.7066;36.9000;161.1000
1025;1091;-0.0170;-0.8004;9.8370;1.5314;0.3496;-4.3945;-7.7678;-0.9668;-6.2307;46.6159;-14.8940;-50.5890;250.8859;22.1954;1020.9899;8.3415;42.589245;-8.934488;34.6139;37.3000;171.6300
1026;1190;-0.1519;-0.0479;9.7119;-0.2035;1.6429;0.0051;-4.2783;0.1039;-8.2878;46.6080;-15.2135;-48.9007;250.5116;22.1978;1020.9684;8.5187;42.589069;-8.934490;35.5028;37.6000;178.8000
1027;1218;-0.7880;-0.3110;9.6903;0.7629;0.4425;-1.2461;-2.5204;2.0943;-8.7625;47.0103;-14.2247;-48.8922;251.7421;22.1977;1020.9744;8.4687;42.588982;-8.934493;35.7066;38.0000;180.0400
1028;1163;-1.1580;-0.7608;9.5233;1.6022;1.8870;-4.1402;-2.7603;5.0816;-12.0735;46.5308;-14.7954;-48.2291;250.9644;22.1980;1021.0196;8.0958;42.588905;-8.934503;34.2620;38.0000;182.7600
1029;1190;-0.8458;-1.5213;9.9479;0.1221;-1.3173;-8.5754;-4.5250;5.3123;-19.1263;50.0565;-12.2763;-48.3742;254.8375;22.1980;1021.0762;7.6281;42.588833;-8.934522;33.0212;38.1000;186.3400
1030;1190;-0.5375;-2.2769;9.8750;-1.0529;-0.3713;-13.3158;-8.6156;2.5076;-32.6729;53.5314;-11.9973;-48.6810;255.9826;22.2003;1021.1426;7.0797;42.588764;-8.934583;32.7804;39.2000;198.0100
1031;1162;0.3166;-0.4989;9.8706;-1.6836;0.1678;-1.7446;-10.0516;-0.1927;-42.8238;55.0357;-9.1913;-48.7144;259.1302;22.1986;1021.1899;6.6880;42.588600;-8.934676;34.1694;39.8000;203.5000
1032;1190;-0.0949;1.2178;9.7206;-1.5208;-0.2085;9.1451;-4.1487;-0.0742;-37.1667;52.7118;-11.0856;-50.5173;256.7243;22.1971;1021.2243;6.4049;42.588528;-8.934737;34.3176;40.0000;207.7300
1033;1217;0.1188;1.0001;9.8802;2.4923;-0.2085;8.7738;1.4767;-0.0600;-25.6641;49.6229;-13.4329;-50.1359;253.4180;22.1950;1021.2687;6.0385;42.588440;-8.934787;34.9472;39.7000;205.2700
1034;1064;-0.4476;0.7695;9.7021;-1.1541;0.6936;4.6609;4.3006;0.5458;-18.2533;49.3448;-13.0374;-49.9747;253.8135;22.1961;1021.3297;5.5342;42.588345;-8.934809;35.4288;39.4000;196.5700
1035;1090;-0.2888;0.8326;9.9423;-3.1017;-0.7435;5.8205;3.2939;0.7720;-12.8255;46.9990;-15.3603;-50.4751;250.5003;22.1975;1021.3993;4.9597;42.588253;-8.934830;35.8732;39.3000;191.1700
1036;1191;-0.0542;0.7768;10.0436;-2.7466;-0.9613;7.5531;2.4120;0.2353;-4.9155;41.9415;-14.8909;-49.8255;249.0743;22.1978;1021.4685;4.3882;42.588154;-8.934852;36.5214;39.6000;189.2000
1037;1191;0.0774;0.8183;9.9810;3.6570;0.3103;6.8715;5.1187;-0.6166;3.7935;40.2265;-15.0846;-48.9246;248.0564;22.1969;1021.5074;4.0671;42.588005;-8.934868;40.9292;40.2000;182.4200
