Time;msDelta;Acc_X;Acc_Y;Acc_Z;Gyro_X;Gyro_Y;Gyro_Z;Tilt_X;Tilt_Y;Tilt_Z;Mag_X;Mag_Y;Mag_Z;Head;Temp;Press;Alt;Lat;Lng;Speed;AltGPS;HeadGPS
1;1108;-0.2547;-0.4759;9.7936;-0.0543;-0.0068;0.0000;-2.7411;1.5161;144.5856;48.6388;24.5323;-50.6461;295.3821;22.3607;1023.2112;-9.9934;0.000000;0.000000;0.0000;0.0000;0.0000
2;1192;-0.2520;-0.4741;9.7960;0.0610;0.0051;0.0000;-2.7301;1.5161;144.5837;48.8421;24.4767;-50.6192;295.2336;22.3613;1023.1900;-9.8182;42.605766;-8.937051;0.9445;-11.1000;0.0000
3;1191;-0.2660;-0.4199;9.7266;-0.2594;0.0254;0.0000;-2.7191;1.5179;144.5801;48.9832;23.9846;-50.9129;294.7024;22.3600;1023.1771;-9.7114;42.605770;-8.937050;1.2408;-10.9000;0.0000
4;1190;-0.2476;-0.4518;9.7852;-0.2136;-0.0305;0.0000;-2.7173;1.5193;144.5801;49.2931;24.0196;-51.0183;294.5959;22.3613;1023.1801;-9.7368;42.605774;-8.937052;0.7593;-10.4000;0.0000
5;1217;-0.2401;-0.4697;9.8056;0.1322;0.0254;0.0000;-2.7187;1.5184;144.5801;48.6852;23.1857;-50.7137;294.0805;22.3626;1023.1785;-9.7229;42.605770;-8.937048;1.0186;-10.6000;0.0000
6;1164;-0.2472;-0.4817;9.8152;0.0407;0.0509;0.0000;-2.7187;1.5198;144.5796;48.7515;22.7851;-50.7333;293.6667;22.3629;1023.1796;-9.7322;42.605774;-8.937050;0.9075;-10.2000;0.0000
7;1191;-0.2620;-0.4594;9.7864;-0.0102;-0.0916;0.0000;-2.7109;1.5253;144.5746;49.3594;22.8018;-50.6105;293.4115;22.3624;1023.1746;-9.6913;42.605770;-8.937049;1.3334;-10.3000;0.0000
8;1191;-0.2508;-0.4666;9.7976;0.1119;0.0356;0.0000;-2.7077;1.5211;144.5746;49.2009;22.9515;-50.7598;293.6255;22.3618;1023.1763;-9.7050;42.605774;-8.937054;0.6112;-10.0000;0.0000
9;1191;-0.2524;-0.4618;9.8000;0.0305;-0.0051;0.0000;-2.6733;1.5198;144.5746;48.8091;23.2653;-50.5759;294.1012;22.3614;1023.1740;-9.6859;42.605778;-8.937056;0.1667;-9.8000;0.0000
10;1217;-0.2424;-0.4422;9.8148;0.1272;0.0865;0.0661;-2.5278;1.5683;144.6542;49.0794;23.6842;-50.7049;294.3771;22.3629;1023.1669;-9.6274;42.605774;-8.937061;0.6482;-9.5000;0.0000
